Code;System;Description;Severity;Common Causes;Vehicle Type
P0522;Engine;Engine Oil Pressure Sensor/Switch Low Voltage;High;Oil pressure sensor, wiring, low oil;All
P0523;Engine;Engine Oil Pressure Sensor/Switch High Voltage;Medium;Oil pressure sensor, wiring;All
P0560;Electrical;System Voltage Malfunction;Medium;Battery, alternator, wiring;All
P0561;Electrical;System Voltage Unstable;Medium;Battery, alternator, loose connection;All
P0562;Electrical;System Voltage Low;High;Battery, alternator, belt;All
P0563;Electrical;System Voltage High;Medium;Alternator regulator, ECU;All
P0600;ECU;Serial Communication Link Malfunction;High;ECU, wiring, communication bus;All
P0601;ECU;Internal Control Module Memory Check Sum Error;Critical;ECU failure, reflash needed;All
P0602;ECU;Control Module Programming Error;Critical;ECU programming, reflash needed;All
P0603;ECU;Internal Control Module Keep Alive Memory (KAM) Error;Critical;ECU, battery disconnected;All
P0604;ECU;Internal Control Module Random Access Memory (RAM) Error;Critical;ECU failure;All
P0605;ECU;Internal Control Module Read Only Memory (ROM) Error;Critical;ECU failure;All
P0606;ECU;PCM Processor Fault;Critical;ECU failure, replacement needed;All
P0607;ECU;Control Module Performance;Critical;ECU failure;All
P0700;Transmission;Transmission Control System Malfunction;High;TCM, wiring, transmission;All
P0701;Transmission;Transmission Control System Range/Performance;High;TCM, transmission fluid;All
P0702;Transmission;Transmission Control System Electrical;High;TCM, wiring, solenoids;All
P0703;Transmission;Torque Converter/Brake Switch B Circuit Malfunction;Medium;Brake light switch, wiring;All
P0704;Transmission;Clutch Switch Input Circuit Malfunction;Medium;Clutch switch, wiring;All
P0705;Transmission;Transmission Range Sensor Circuit Malfunction (PRNDL Input);Medium;Shift sensor, wiring, TCM;All
P0710;Transmission;Transmission Fluid Temperature Sensor Circuit Malfunction;Medium;Transmission temp sensor, wiring;All
P0711;Transmission;Transmission Fluid Temperature Sensor Circuit Range/Performance;Medium;Transmission temp sensor;All
P0712;Transmission;Transmission Fluid Temperature Sensor Circuit Low Input;Medium;Transmission temp sensor, wiring;All
P0713;Transmission;Transmission Fluid Temperature Sensor Circuit High Input;Medium;Transmission temp sensor, wiring;All
P0715;Transmission;Input/Turbine Speed Sensor Circuit Malfunction;High;Speed sensor, wiring, TCM;All
P0720;Transmission;Output Speed Sensor Circuit Malfunction;High;Speed sensor, wiring, gear;All
P0725;Transmission;Engine Speed Input Circuit Malfunction;High;Crank sensor, wiring to TCM;All
P0730;Transmission;Incorrect Gear Ratio;High;Transmission mechanical, fluid, solenoids;All
P0731;Transmission;Gear 1 Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0732;Transmission;Gear 2 Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0733;Transmission;Gear 3 Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0734;Transmission;Gear 4 Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0735;Transmission;Gear 5 Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0736;Transmission;Reverse Incorrect Ratio;High;Transmission mechanical, solenoids;All
P0740;Transmission;Torque Converter Clutch Circuit Malfunction;Medium;TCC solenoid, wiring, fluid;All
P0741;Transmission;Torque Converter Clutch Circuit Performance or Stuck Off;Medium;TCC solenoid, transmission fluid;All
P0742;Transmission;Torque Converter Clutch Circuit Stuck On;Medium;TCC solenoid, valve body;All
P0743;Transmission;Torque Converter Clutch Circuit Electrical;Medium;TCC solenoid, wiring;All
P0744;Transmission;Torque Converter Clutch Circuit Intermittent;Medium;TCC solenoid, wiring, TCM;All
P0750;Transmission;Shift Solenoid A Malfunction;High;Shift solenoid A, wiring;All
P0751;Transmission;Shift Solenoid A Performance or Stuck Off;High;Shift solenoid A, fluid;All
P0752;Transmission;Shift Solenoid A Stuck On;High;Shift solenoid A, valve body;All
P0753;Transmission;Shift Solenoid A Electrical;High;Shift solenoid A, wiring, TCM;All
P0755;Transmission;Shift Solenoid B Malfunction;High;Shift solenoid B, wiring;All
P0756;Transmission;Shift Solenoid B Performance or Stuck Off;High;Shift solenoid B, fluid;All
P0757;Transmission;Shift Solenoid B Stuck On;High;Shift solenoid B, valve body;All
P0758;Transmission;Shift Solenoid B Electrical;High;Shift solenoid B, wiring, TCM;All
P0760;Transmission;Shift Solenoid C Malfunction;High;Shift solenoid C, wiring;All
P0765;Transmission;Shift Solenoid D Malfunction;High;Shift solenoid D, wiring;All
P0770;Transmission;Shift Solenoid E Malfunction;High;Shift solenoid E, wiring;All
=== DIESEL SPECIFIC CODES ===;;;;;
P0380;Diesel;Glow Plug/Heater Circuit A Malfunction;High;Glow plug relay, wiring, glow plugs;Diesel
P0381;Diesel;Glow Plug/Heater Indicator Circuit Malfunction;Low;Glow plug indicator, relay, wiring;Diesel
P0382;Diesel;Glow Plug/Heater Circuit B Malfunction;High;Glow plug relay, wiring;Diesel
P0470;Diesel;Exhaust Pressure Sensor Malfunction;Medium;EGR pressure sensor, wiring;Diesel
P0471;Diesel;Exhaust Pressure Sensor Range/Performance;Medium;EGR pressure sensor, DPF;Diesel
P0472;Diesel;Exhaust Pressure Sensor Low;Medium;EGR pressure sensor, wiring;Diesel
P0473;Diesel;Exhaust Pressure Sensor High;Medium;EGR pressure sensor, wiring;Diesel
P2002;Diesel;Diesel Particulate Filter Efficiency Below Threshold (Bank 1);High;DPF blocked, regeneration needed;Diesel
P2003;Diesel;Diesel Particulate Filter Efficiency Below Threshold (Bank 2);High;DPF blocked, regeneration needed;Diesel
P2004;Diesel;Intake Manifold Runner Control Stuck Open (Bank 1);Medium;Intake manifold flaps, actuator;Diesel
P2005;Diesel;Intake Manifold Runner Control Stuck Open (Bank 2);Medium;Intake manifold flaps, actuator;Diesel
P2006;Diesel;Intake Manifold Runner Control Stuck Closed (Bank 1);Medium;Intake manifold flaps, actuator;Diesel
P2007;Diesel;Intake Manifold Runner Control Stuck Closed (Bank 2);Medium;Intake manifold flaps, actuator;Diesel
P2008;Diesel;Intake Manifold Runner Control Circuit/Open (Bank 1);Medium;Manifold actuator, wiring;Diesel
P2009;Diesel;Intake Manifold Runner Control Circuit Low (Bank 1);Medium;Manifold actuator, wiring;Diesel
P2010;Diesel;Intake Manifold Runner Control Circuit High (Bank 1);Medium;Manifold actuator, wiring;Diesel
P2080;Diesel;Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 1 Sensor 1);Medium;EGT sensor, wiring;Diesel
P2084;Diesel;Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 1 Sensor 2);Medium;EGT sensor, wiring;Diesel
P2088;Diesel;Exhaust Gas Temperature Too Low (Bank 1 Sensor 1);Medium;EGT sensor, DPF regeneration;Diesel
P2100;Diesel;Throttle Actuator Control Motor Circuit/Open;High;Throttle actuator, wiring;Diesel
P2101;Diesel;Throttle Actuator Control Motor Circuit Range/Performance;High;Throttle body, calibration;Diesel
P2119;Diesel;Throttle Actuator Control Throttle Body Range/Performance;High;Throttle body, cleaning;Diesel
P2135;Diesel;Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation;High;TPS sensors, wiring;Diesel
P2201;Diesel;NOx Sensor Circuit Range/Performance Bank 1;Medium;NOx sensor, SCR system;Diesel
P2202;Diesel;NOx Sensor Circuit Low Bank 1;Medium;NOx sensor, wiring;Diesel
P2203;Diesel;NOx Sensor Heater Control Circuit Bank 1;Medium;NOx sensor heater;Diesel
P2204;Diesel;NOx Sensor Heater Control Circuit Range/Performance Bank 1;Medium;NOx sensor heater;Diesel
P2209;Diesel;NOx Sensor Heater Sense Circuit Range/Performance Bank 1;Medium;NOx sensor;Diesel
P2214;Diesel;NOx Sensor Circuit Range/Performance Bank 2;Medium;NOx sensor;Diesel
P2227;Diesel;Barometric Pressure Circuit Range/Performance;Low;BARO sensor, ECU;Diesel
P2228;Diesel;Barometric Pressure Circuit Low;Low;BARO sensor, wiring;Diesel
P2229;Diesel;Barometric Pressure Circuit High;Low;BARO sensor, wiring;Diesel
P2261;Diesel;Turbo/Super Charger Bypass Valve Mechanical;High;Wastegate, actuator, turbo;Diesel
P2262;Diesel;Turbo Boost Pressure Not Detected - Mechanical;High;Turbocharger, wastegate, boost leak;Diesel
P2263;Diesel;Turbo/Super Charger Boost System Performance;High;Turbo, boost control, intercooler leak;Diesel
P2280;Diesel;Airflow Restriction/Air Leak Between Air Filter and MAF;Medium;Air filter, intake leak, MAF;Diesel
P2BAF;Diesel;DEF (AdBlue) System Low Performance;High;AdBlue quality, injector, pump;Diesel
P20B7;Diesel;Reductant Tank Temperature Sensor Circuit Range/Performance;Medium;AdBlue temp sensor;Diesel
P20BA;Diesel;Reductant Heater A Control Circuit/Open;Medium;AdBlue heater, wiring;Diesel
P20E8;Diesel;SCR NOx Catalyst Efficiency Below Threshold Bank 1;High;SCR catalyst, AdBlue injection;Diesel
P20EE;Diesel;SCR NOx Catalyst Efficiency Below Threshold Bank 2;High;SCR catalyst, AdBlue;Diesel
P2452;Diesel;Diesel Particulate Filter Pressure Sensor A Circuit;Medium;DPF pressure sensor, wiring;Diesel
P2453;Diesel;Diesel Particulate Filter Pressure Sensor A Range/Performance;Medium;DPF pressure sensor;Diesel
P2454;Diesel;Diesel Particulate Filter Pressure Sensor A Circuit Low;Medium;DPF pressure sensor, wiring;Diesel
P2455;Diesel;Diesel Particulate Filter Pressure Sensor A Circuit High;Medium;DPF pressure sensor, wiring;Diesel
P2463;Diesel;Diesel Particulate Filter Restriction - Soot Accumulation;Critical;DPF blocked, regeneration failed;Diesel
P2509;Diesel;ECM/PCM Power Input Signal Intermittent;High;Power supply, wiring, battery;Diesel
=== ELECTRIC VEHICLE (EV) CODES ===;;;;;
P0A00;EV Battery;Hybrid/EV Battery Pack Malfunction;Critical;Battery pack, BMS, high voltage;Electric/Hybrid
P0A01;EV Battery;Motor Electronics Coolant Temperature Sensor Circuit Range/Performance;Medium;Coolant sensor, inverter cooling;Electric/Hybrid
P0A02;EV Battery;Motor Electronics Coolant Temperature Sensor Circuit Low;Medium;Coolant sensor, wiring;Electric/Hybrid
P0A03;EV Battery;Motor Electronics Coolant Temperature Sensor Circuit High;Medium;Coolant sensor, wiring;Electric/Hybrid
P0A04;EV Battery;DC/DC Converter Status Circuit;High;DC-DC converter, 12V system;Electric/Hybrid
P0A08;EV Battery;DC/DC Converter Status Circuit Low;High;DC-DC converter, wiring;Electric/Hybrid
P0A09;EV Battery;DC/DC Converter Status Circuit High;High;DC-DC converter, wiring;Electric/Hybrid
P0A0F;EV Motor;Engine Failed To Start;Critical;Motor, inverter, high voltage system;Electric/Hybrid
P0A12;EV Motor;Hybrid/EV System Voltage High;Critical;Battery voltage too high, BMS;Electric/Hybrid
P0A13;EV Motor;Hybrid/EV System Voltage Low;Critical;Battery voltage too low, discharge;Electric/Hybrid
P0A1A;EV Motor;Generator Performance;Medium;Motor-generator, inverter;Electric/Hybrid
P0A1F;EV Motor;Hybrid Battery Pack Cooling Fan 1 Control Circuit;Medium;Cooling fan, relay, wiring;Electric/Hybrid
P0A28;EV Motor;Electric Motor Performance;High;Traction motor, inverter, resolver;Electric/Hybrid
P0A2D;EV Motor;Hybrid/EV Battery Voltage Sense Circuit Intermittent/Erratic;High;Voltage sensor, wiring, BMS;Electric/Hybrid
P0A3B;EV Charging;Generator Control Module;High;Generator control, hybrid system;Electric/Hybrid
P0A3F;EV Battery;Hybrid Battery Pack Air Conditioning Circuit/Open;Medium;Battery cooling, A/C compressor;Electric/Hybrid
P0A52;EV Motor;Motor Control Module Performance;High;Motor controller, firmware;Electric/Hybrid
P0A78;EV Motor;Drive Motor A Current Sensor Circuit;High;Current sensor, shunt resistor;Electric/Hybrid
P0A79;EV Motor;Drive Motor A Current Sensor Circuit Range/Performance;High;Current sensor, calibration;Electric/Hybrid
P0A7A;EV Motor;Drive Motor A Current Sensor Circuit Low;High;Current sensor, wiring;Electric/Hybrid
P0A7B;EV Motor;Drive Motor A Current Sensor Circuit High;High;Current sensor, wiring;Electric/Hybrid
P0A80;EV Battery;Replace Hybrid/EV Battery Pack;Critical;Battery degraded, end of life;Electric/Hybrid
P0A81;EV Motor;Hybrid/EV Drive Motor Position Sensor Circuit;High;Resolver, encoder, wiring;Electric/Hybrid
P0A82;EV Motor;Hybrid/EV Drive Motor Position Sensor Circuit Range/Performance;High;Resolver, alignment;Electric/Hybrid
